NumberofFloors,NumberofBuildings,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingType,Neighborhood,largestUseType_encode,BuildingAge
1.0,1.0,530039.0,0.0,100.0,14.19999981,7560273.0,505103.0,4550079.0,3010190.0,178.7,2,0,1,70.0
10.0,10.0,879000.0,0.0,29.0,255.1000061,230595392.0,897371.0,101973693.0,128621675.0,7253.0,2,1,2,68.0
3.0,1.0,39017.0,16425.0,80.0,81.19999695,3043150.0,28636.0,1607587.0,1435560.0,82.9,1,1,1,25.0
2.0,1.0,242795.0,0.0,60.0,44.70000076,11091932.0,249963.0,7708134.0,3383800.0,211.6,1,1,1,22.0
5.0,1.0,84870.0,0.0,0.0,32.09999847,2717686.0,74705.0,776888.0,1940800.0,106.3,1,1,0,111.0
2.0,11.0,582447.0,111625.0,0.0,51.09999847,33233874.0,653167.0,26143652.0,7090220.0,484.7,2,1,2,51.0
2.0,1.0,173185.0,0.0,59.0,58.09999847,9844954.0,171523.0,1344542.0,8500410.0,457.0,1,1,1,69.0
1.0,1.0,145341.0,0.0,66.0,50.40000153,6153314.0,119514.0,1690364.0,4462950.0,244.0,1,0,1,58.0
2.0,1.0,184125.0,0.0,83.0,38.70000076,7337896.0,189592.0,2448769.0,4889130.0,269.8,1,1,1,61.0
1.0,1.0,160270.0,0.0,76.0,47.09999847,6966986.0,144936.0,1429302.0,5537680.0,300.0,1,1,1,62.0
1.0,1.0,234144.0,0.0,98.0,11.0,2566324.0,234144.0,97.0,2566228.0,136.3,1,1,1,84.0
1.0,1.0,64984.0,0.0,0.0,39.20000076,2581250.0,65195.0,1946444.0,634806.0,41.8,1,0,1,55.0
1.0,1.0,67745.0,0.0,0.0,110.5999985,7444998.0,67763.0,1134101.0,6310897.0,339.9,1,0,1,56.0
2.0,1.0,367884.0,0.0,74.0,43.20000076,16180345.0,372897.0,7012595.0,9167750.0,515.9,1,0,1,11.0
1.0,1.0,46797.0,0.0,76.0,58.20000076,2588721.0,43744.0,445435.0,2143290.0,115.7,1,0,1,63.0
3.0,1.0,136188.0,0.0,74.0,46.40000153,6741748.0,142558.0,1862873.0,4878880.0,266.8,1,1,1,58.0
2.0,1.0,67371.0,0.0,64.0,41.5,2975440.0,70638.0,1257725.0,1717720.0,96.4,1,1,1,17.0
2.0,1.0,52088.0,0.0,0.0,25.79999924,1369064.0,52088.0,402553.0,966510.0,53.0,1,0,0,52.0
3.0,1.0,127776.0,0.0,30.0,48.0,6118009.0,128025.0,4220099.0,1897910.0,118.3,1,1,1,11.0
5.0,1.0,93920.0,30000.0,87.0,70.80000305,6629520.0,93920.0,3273708.0,3355810.0,191.8,1,1,2,23.0
1.0,1.0,52690.0,0.0,0.0,143.3999939,7637246.0,52690.0,3067566.0,4569680.0,255.4,1,1,2,121.0
7.0,1.0,153315.0,54341.0,90.0,70.90000153,10040173.0,141591.0,5287972.0,4752200.0,274.3,1,0,2,23.0
2.0,1.0,67235.0,0.0,45.0,52.09999847,3630634.0,68648.0,1513565.0,2117070.0,118.7,1,1,1,22.0
2.0,1.0,91130.0,0.0,29.0,90.30000305,8560882.0,57968.0,6453832.0,2107050.0,138.6,1,1,1,64.0
3.0,1.0,58118.0,0.0,77.0,28.10000038,1646882.0,58473.0,1199685.0,447200.0,28.7,1,0,1,30.0
4.0,1.0,64892.0,0.0,78.0,76.09999847,4937291.0,64893.0,2241466.0,2695830.0,152.4,1,1,2,53.0
2.0,1.0,52792.0,0.0,83.0,22.0,1243302.0,55480.0,1243301.0,0.0,5.1,1,0,1,32.0
1.0,1.0,70762.0,0.0,69.0,49.90000153,4156902.0,81337.0,534575.0,3622330.0,194.6,1,1,1,96.0
6.0,1.0,1585960.0,327680.0,0.0,37.5,59420744.0,1585960.0,48245407.0,11175350.0,793.1,1,1,1,22.0
2.0,1.0,179161.0,0.0,0.0,49.79999924,9092996.0,117861.0,8030265.0,1062730.0,89.7,1,1,1,97.0
2.0,1.0,58640.0,0.0,0.0,56.59999847,3748255.0,39140.0,3748256.0,0.0,15.5,1,1,1,56.0
9.0,1.0,153882.0,14567.0,98.0,40.20000076,6190446.0,153882.0,4463244.0,1727200.0,110.2,1,1,2,16.0
2.0,2.0,68640.0,0.0,0.0,138.6999969,12870905.0,44160.0,10484820.0,2386080.0,170.1,2,1,1,18.0
4.0,1.0,79600.0,0.0,69.0,15.30000019,2578204.0,169225.0,2578203.0,0.0,10.7,1,1,1,105.0
4.0,1.0,241066.0,0.0,94.0,28.79999924,7661069.0,260459.0,2717502.0,4943570.0,273.8,1,1,1,24.0
2.0,16.0,302494.0,31874.0,0.0,126.6999969,46422340.0,154100.0,39759934.0,6662400.0,518.3,2,1,1,41.0
6.0,1.0,88460.0,335109.0,0.0,74.59999847,6601776.0,335109.0,4208272.0,2393504.0,144.5,1,0,1,13.0
4.0,1.0,42882.0,39179.0,0.0,51.0,7619336.0,76268.0,7619337.0,0.0,31.5,1,0,1,19.0
7.0,1.0,116947.0,0.0,0.0,62.90000153,7953548.0,81740.0,3878021.0,4075530.0,232.5,1,1,1,18.0
4.0,1.0,37940.0,14194.0,39.0,43.09999847,1902362.0,34890.0,1902362.0,0.0,7.9,0,0,1,14.0
0.0,1.0,518497.0,0.0,0.0,83.09999847,45685716.0,495536.0,32750055.0,12935660.0,822.5,1,1,2,22.0
5.0,4.0,597519.0,0.0,48.0,233.8000031,141621536.0,601615.0,55548691.0,86072862.0,4801.1,2,1,2,31.0
1.0,1.0,71714.0,0.0,58.0,41.90000153,3058678.0,72178.0,1857990.0,1200690.0,71.5,1,0,1,22.0
